CODPRO,PROVINCIA,CODCOM,COMUNE,PROCOM,SEZ2011,P1,P2,P3,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,P32,P33,P34,P35,P36,P37,P38,P39,P40,P41,P42,P43,P44,P45,P67,P68,P69,P70,P71,P72,P73,P74,P75,P76,P77,P78,P79,P80,P81,P82,P83,P84,P85,P86,P87,P88,P89,P90,P91,P92,P93,P94,P95,P96,P97,P98,P99,P100,P101,P102,P103,IT1,IT2,IT3,IT4,IT5,IT6,IT7,IT8,IT9,IT10,IT11,IT12,ST1,ST2,ST2_B,ST3,ST4,ST5,ST16,ST17,ST18,ST19,ST20,ST21,ST22,ST23,ST24,ST25,ST26,ST27,ST28,ST29,ST30,ST31,ST32,ST33,PF1,PF3,PF4,PF5,PF6,PF7,PF8
55,Terni,32,Terni,55032,550320000374,859,417,442,21,40,54,51,34,43,55,52,64,77,96,84,53,27,29,79,7,22,29,34,20,19,27,23,33,34,47,40,29,15,9,29,14,18,25,17,14,24,28,29,31,43,49,44,24,12,20,50,802,389,413,30,100,214,308,150,13,47,112,153,64,17,53,102,155,86,383,213,170,82,448,127,44,230,50,38,218,77,301,165,136,202,93,109,73,99,30,52,24,28,150,69,81,33,161,8,14,76,3,19,85,5,82,48,34,409,181,97,70,42,13,6
55,Terni,32,Terni,55032,550320000375,18,8,10,0,1,1,0,0,3,0,2,0,1,1,1,1,1,1,5,0,1,1,0,0,1,0,1,0,0,0,1,0,1,0,2,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,3,17,7,10,0,6,4,4,3,0,2,2,2,1,0,4,2,2,2,6,2,4,2,9,7,2,3,3,0,6,4,6,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,5,2,0,0,0
55,Terni,32,Terni,55032,550320000377,27,15,12,0,2,0,1,1,0,1,2,5,0,3,2,1,4,1,4,0,1,0,0,1,0,1,1,4,0,1,1,0,2,0,3,0,1,0,1,0,0,0,1,1,0,2,1,1,2,1,1,26,14,12,1,3,4,16,2,0,1,2,10,1,1,2,2,6,1,9,6,3,2,9,7,1,4,4,1,5,3,6,4,2,9,6,3,1,4,4,4,2,2,5,4,1,0,7,2,0,5,1,0,2,1,3,2,1,13,6,4,0,2,1,0
55,Terni,32,Terni,55032,550320000378,31,14,17,1,1,1,1,0,2,1,0,3,5,2,1,0,1,3,9,0,1,1,1,0,0,0,0,1,3,1,0,0,0,2,4,1,0,0,0,0,2,1,0,2,2,1,1,0,1,1,5,29,13,16,0,10,7,10,2,0,5,4,4,0,0,5,3,6,2,11,5,6,3,13,13,2,6,6,1,7,7,10,5,5,2,0,2,0,2,0,1,0,1,1,0,1,0,2,0,0,0,0,0,2,0,1,0,1,15,5,6,2,2,0,0
55,Terni,32,Terni,55032,550320000379,21,9,12,2,0,2,1,1,1,3,0,3,1,2,0,1,0,3,1,0,0,1,1,0,0,2,0,0,1,1,0,1,0,1,1,2,0,1,0,1,1,1,0,3,0,1,0,0,0,2,0,19,9,10,1,2,6,6,4,0,1,4,3,1,1,1,2,3,3,9,5,4,2,6,4,1,4,2,1,2,2,5,4,1,9,2,7,5,4,0,0,0,0,9,2,7,2,7,0,0,2,0,2,5,0,4,1,3,9,4,1,1,3,0,0
55,Terni,32,Terni,55032,550320000382,78,35,43,5,3,7,4,3,4,4,4,8,6,6,4,4,2,3,11,1,2,5,2,2,2,0,1,3,1,3,3,3,2,1,4,4,1,2,2,1,2,4,3,5,5,3,1,1,0,2,7,71,32,39,5,14,13,31,8,2,7,7,14,2,3,7,6,17,6,32,16,16,15,44,15,8,19,7,7,25,8,31,16,15,4,1,3,1,1,2,4,1,3,0,0,0,0,3,1,0,1,0,0,2,1,1,0,1,39,15,14,5,5,0,0
55,Terni,32,Terni,55032,550320000383,29,12,17,2,0,0,1,1,0,4,4,1,1,2,1,4,1,2,5,1,0,0,0,1,0,2,1,1,1,0,0,1,1,1,2,1,0,0,1,0,0,2,3,0,0,2,1,3,0,1,3,27,11,16,1,5,14,7,0,0,2,8,1,0,1,3,6,6,0,9,5,4,2,19,8,1,7,4,1,12,4,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,6,4,1,3,0,0
55,Terni,32,Terni,55032,550320000384,50,28,22,2,3,1,0,3,2,5,5,4,3,2,3,5,4,0,8,1,1,1,0,3,1,4,4,2,2,2,2,2,2,0,1,1,2,0,0,0,1,1,1,2,1,0,1,3,2,0,7,46,26,20,3,5,13,20,5,0,1,12,11,2,3,4,1,9,3,21,14,7,6,26,12,3,17,3,3,9,9,18,12,6,6,5,1,3,2,1,1,0,1,5,5,0,0,6,0,0,5,0,0,1,0,3,2,1,26,15,5,5,0,0,1
55,Terni,32,Terni,55032,550320000385,42,17,25,0,2,1,4,3,2,0,1,1,4,4,4,7,2,1,6,0,1,0,1,2,1,0,0,0,2,2,2,3,0,1,2,0,1,1,3,1,1,0,1,1,2,2,2,4,2,0,4,40,16,24,0,1,9,13,17,0,0,3,8,5,0,1,6,5,12,16,8,8,3,30,9,1,13,3,2,17,6,16,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,8,7,1,3,1,0
55,Terni,32,Terni,55032,550320000386,472,237,235,15,26,26,29,20,21,27,30,39,39,42,39,28,24,22,45,6,13,14,17,12,12,15,12,24,16,18,23,14,11,12,18,9,13,12,12,8,9,12,18,15,23,24,16,14,13,10,27,437,222,215,17,45,74,189,112,9,24,41,96,52,8,21,33,93,60,215,121,94,66,305,91,32,159,41,34,146,50,212,120,92,10,5,5,3,6,1,5,2,3,5,3,2,1,9,0,1,4,0,0,5,0,3,1,2,200,65,47,45,37,6,0
